"ProcessName","WorkingSet"
"audiodg","31088640"
"cmd","3514368"
"cmd","3112960"
"cmd","3080192"
"CMI","55205888"
"Code","107040768"
"Code","31772672"
"Code","55627776"
"Code","94584832"
"Code","32145408"
"Code","63197184"
"Code","9674752"
"Code","259465216"
"Code","67391488"
"Code","82677760"
"CodeHelper","12148736"
"collector","5394432"
"conhost","3342336"
"conhost","3469312"
"conhost","3338240"
"conhost","5251072"
"conhost","3379200"
"conhost","3387392"
"conhost","6496256"
"conhost","6520832"
"conhost","3997696"
"conhost","4009984"
"csrss","6283264"
"csrss","117481472"
"CxMonSvc","14065664"
"CxUtilSvc","5423104"
"devmonsrv","8425472"
"dwm","56111104"
"explorer","51707904"
"explorer","53469184"
"EZNConnector","30031872"
"EZNHC","2281472"
"firefox","46616576"
"firefox","214245376"
"firefox","374308864"
"firefox","313491456"
"firefox","45846528"
"firefox","149426176"
"firefox","127565824"
"FireSvc","20758528"
"Greenshot","45580288"
"HipMgmt","19562496"
"HotkeyService","14159872"
"hpCMSrv","12177408"
"HPConnectionManager","90660864"
"hpqwmiex","10166272"
"hpservice","4956160"
"Idle","24576"
"igfxCUIService","8499200"
"igfxEM","11493376"
"igfxHK","8904704"
"igfxTray","9953280"
"issuser","9383936"
"localsch","11722752"
"lsass","17821696"
"lsm","7389184"
"macmnsvc","11198464"
"macompatsvc","19075072"
"masvc","24363008"
"mcshield","18767872"
"mctray","3006464"
"mediasrv","8392704"
"mfeann","5292032"
"mfefire","10936320"
"mfemactl","11755520"
"mfemms","8929280"
"mfevtps","7651328"
"mfevtps","10825728"
"MicTray64","8445952"
"mpv","116441088"
"msiexec","7929856"
"nlnotes","20914176"
"notes2","167186432"
"nsd","6258688"
"ntaskldr","8470528"
"ntmulti","4149248"
"obexsrv","7442432"
"OSPPSVC","15335424"
"pds","5222400"
"powershell","70266880"
"powershell","118677504"
"powershell","79007744"
"PresentationFontCache","23564288"
"QLBController","10854400"
"rbtlogger","9613312"
"rbtmon","29151232"
"rbtsport","332021760"
"rcgui","6356992"
"residentAgent","503808"
"RtsCM64","7426048"
"rundll32","12328960"
"rundll32","7495680"
"sbus","14671872"
"sbusagent","8069120"
"SearchFilterHost","7540736"
"SearchIndexer","47730688"
"SearchProtocolHost","10563584"
"SelfElectController","9011200"
"services","16707584"
"shmobile","21217280"
"SmartAudio3","8429568"
"smplayer","33611776"
"SMPlayerPortable","3129344"
"smss","1372160"
"softmon","14004224"
"spoolsv","15474688"
"ss_conn_service","4874240"
"SUService","4886528"
"svchost","12767232"
"svchost","25673728"
"svchost","50188288"
"svchost","25272320"
"svchost","18280448"
"svchost","12091392"
"svchost","18677760"
"svchost","5013504"
"svchost","23302144"
"svchost","17510400"
"svchost","8839168"
"svchost","7102464"
"svchost","7249920"
"SynTPEnh","18354176"
"SynTPEnhService","4882432"
"SynTPHelper","3948544"
"System","1638400"
"taskeng","5898240"
"taskeng","7184384"
"taskhost","17952768"
"tmcsvc","11685888"
"TrustedInstaller","16433152"
"unsecapp","6864896"
"UpdaterUI","5599232"
"vpnagent","17330176"
"VsTskMgr","782336"
"wininit","4968448"
"winlogon","9179136"
"winpty-agent","4415488"
"winpty-agent","4435968"
"WmiPrvSE","19795968"
"WmiPrvSE","10493952"
"WmiPrvSE","24322048"
