"ProcessName","WorkingSet"
"audiodg","22007808"
"cmd","106496"
"cmd","3170304"
"CMI","21782528"
"Code","56434688"
"Code","42205184"
"Code","46505984"
"Code","24821760"
"Code","79142912"
"Code","210046976"
"Code","1454080"
"Code","1470464"
"Code","446464"
"CodeHelper","3985408"
"collector","2314240"
"conhost","356352"
"conhost","315392"
"conhost","356352"
"conhost","331776"
"conhost","352256"
"conhost","176128"
"conhost","638976"
"conhost","4124672"
"conhost","806912"
"conhost","806912"
"csrss","2228224"
"csrss","90460160"
"CxMonSvc","233472"
"CxUtilSvc","1314816"
"devmonsrv","1941504"
"dwm","48103424"
"explorer","28860416"
"EZNConnector","1880064"
"EZNHC","86016"
"firefox","185950208"
"firefox","315674624"
"firefox","280391680"
"firefox","21233664"
"firefox","328159232"
"firefox","399052800"
"firefox","215949312"
"FireSvc","20783104"
"Greenshot","3002368"
"HipMgmt","12787712"
"HotkeyService","4231168"
"hpCMSrv","4038656"
"HPConnectionManager","17969152"
"hpqwmiex","6885376"
"hpservice","1413120"
"Idle","24576"
"igfxCUIService","1847296"
"igfxEM","3584000"
"igfxHK","1753088"
"igfxTray","3534848"
"issuser","2379776"
"localsch","4419584"
"lsass","9822208"
"lsm","3440640"
"macmnsvc","3207168"
"macompatsvc","11530240"
"masvc","13168640"
"mcshield","30650368"
"mctray","2904064"
"mediasrv","1986560"
"mfeann","5582848"
"mfefire","3719168"
"mfemactl","1978368"
"mfemms","2887680"
"mfevtps","4489216"
"mfevtps","180224"
"MicTray64","2404352"
"mpv","101543936"
"nlnotes","26595328"
"notes2","138735616"
"nsd","253952"
"ntaskldr","10141696"
"ntmulti","1028096"
"obexsrv","1544192"
"opera","130101248"
"opera","12054528"
"opera","102490112"
"opera","4857856"
"opera","230920192"
"opera","54456320"
"opera","4341760"
"opera","119746560"
"opera","8974336"
"opera","21143552"
"opera","1388544"
"opera","99201024"
"opera","100130816"
"pds","167936"
"powershell","79335424"
"powershell","54476800"
"powershell","2326528"
"PresentationFontCache","282624"
"QLBController","4087808"
"rbtlogger","802816"
"rbtmon","14114816"
"rbtsport","5910528"
"rcgui","1523712"
"residentAgent","421888"
"RtsCM64","417792"
"rundll32","2273280"
"sbus","1916928"
"sbusagent","1847296"
"SearchIndexer","10854400"
"SelfElectController","3121152"
"services","6320128"
"shmobile","10731520"
"SmartAudio3","8450048"
"smplayer","19070976"
"SMPlayerPortable","1339392"
"smss","69632"
"softmon","3993600"
"spoolsv","5206016"
"ss_conn_service","1163264"
"SUService","204800"
"svchost","13856768"
"svchost","11833344"
"svchost","11587584"
"svchost","2285568"
"svchost","30035968"
"svchost","155648"
"svchost","4845568"
"svchost","7233536"
"svchost","9351168"
"svchost","12566528"
"svchost","10907648"
"svchost","2846720"
"svchost","3182592"
"svchost","2977792"
"SynTPEnh","7401472"
"SynTPEnhService","1429504"
"SynTPHelper","319488"
"System","4308992"
"taskeng","1785856"
"taskhost","6893568"
"tmcsvc","2781184"
"TrustedInstaller","2453504"
"unsecapp","1835008"
"UpdaterUI","4329472"
"vpnagent","5505024"
"VsTskMgr","724992"
"wininit","151552"
"winlogon","2019328"
"winpty-agent","614400"
"winpty-agent","614400"
"WmiPrvSE","6463488"
